Poste date,Title,Location,Company,Job type,Job description
PostedPosted 30+ days ago,Ingénieur informatique,Rabat,advance manager,Permanent,"Nous sommes à la recherche d'un Ingénieur Informatique talentueux pour rejoindre notre équipe dynamique et participer au développement de solutions innovantes. Si vous êtes passionné par la technologie et motivé par les défis, cette opportunité est faite pour vous.

Responsabilités :

Concevoir et développer des solutions logicielles innovantes.
Collaborer avec l'équipe pour identifier les besoins des clients et proposer des solutions techniques adaptées.
Participer à toutes les phases du cycle de développement logiciel, de la conception à l'implémentation.
Assurer la maintenance et l'optimisation des solutions existantes.
Rester à jour avec les dernières technologies et tendances de l'industrie.

Qualifications requises :

Diplôme en ingénierie informatique, informatique ou domaine connexe.
Expérience solide en développement logiciel, de préférence dans un environnement agile.
Maîtrise des langages de programmation tels que Java, C++, Python, etc.
Excellentes compétences en résolution de problèmes et en pensée analytique.
Capacité à travailler en équipe et à communiquer efficacement.
Domaine : Informatique / Multimédia / Internet
Fonction : Informatique - Développement
Contrat : CDI
Entreprise : advance manager
Salaire : A discuter
Niveau d'études : Bac plus 5"
PostedPosted 30+ days ago,Ingénieur Sécurité Informatique (H/F),Rabat,ISC Maroc,Permanent,"Notre mission depuis 30 ans ? Être présent au bon moment !
Notre expertise ? Accompagner nos clients à capter l’attention de l’utilisateur et transformer cette interaction furtive en une interaction mémorable. C’est dans cette optique que nous accompagnons les entreprises dans la mise en œuvre, et le pilotage de dispositifs digitaux pour une expérience utilisateur réinventée.
La juste interaction, c’est quoi ? C’est capter notre attention au bon moment, au bon endroit et la convertir en envie et en confiance. Un équilibre subtil entre le trop et le trop peu. Entre le trop tôt et le trop tard.
Devenez SQLien et faites partie de cette grande aventure au sein d’une société à taille humaine, mais avec de grandes ambitions. Nous sommes plus de 2200 talents sur plus de 13 pays et 3 continents.
Notre culture ?
Oser et créer.
Rattaché(e) au Département Sécurité des SI Groupe, vous aurez pour missions de :
Rédiger la documentation des processus liés à la sécurité au sein de la Direction de la Sécurité des SI(Directives SSI, Plan d’Assurance Sécurité, etc.)
Garantir que les processus de sécurité sont appliqués au sein du groupe
Participer aux réponses aux appels d’offre sur la partie sécurité en lien avec les équipes métiers(conformité des exigences sécurité/RGPD des clients)
Intégrer la sécurité des SI dans les projets métiers
Piloter, réaliser des audits de conformité et/ou de sécurité, des analyses de risques et de mettre en œuvre des plans de remédiation associés (ISO 27001/5)
Gérer les incidents et demandes de sécurité au quotidien, en coordination avec les correspondants informatiques (réactivité et investigation avancées)
Accompagner à la mise en place d’outils de détection, de protection et d’investigation de sécurité(AV, IDS/IPS, scanner de vulnérabilité, chiffrement des données, etc.)
Participer aux comités « Sécurité Informatique »
Sensibiliser et former les collaborateurs aux enjeux de la sécurité des SI
De formation BAC+5 avec une spécialisation dans le domaine de la sécurité
3 ans d'expérience en tant que Correspondant sécurité, Ingénieur Sécurité ou Administrateur sécurité
Bon niveau en Anglais professionnel : Intermédiaire/Courant
Prérequis : Passionné(e) de Cybersécurité, esprit d'équipe, bonnes capacités de communication et de présentation
Certifications appréciées (un gros plus) : ISO 27001 Lead Implementer/Lead Auditor, ISO 27005 Risk Manager, CEH, CISSP, CISA"
PostedPosted 17 days ago,Ingénieur agronome - chargé de mission auprès de l,Rabat,,Permanent,"Rabat
Publiée le: 9 Feb-13:56
Annonce N°: 9767098
Dans le cadre de notre expansion, nous recherchons un Ingénieur Agronome talentueux pour occuper le poste de Chargé de Mission auprès de la Direction Générale.
* Responsabilités :- Analyser les enjeux agricoles et environnementaux liés à notre secteur d'activité.- Élaborer des stratégies et des plans d'action pour améliorer les performances agronomiques de l'entreprise.- Collaborer étroitement avec la Direction Générale pour proposer des solutions innovantes et durables.- Assurer le suivi des projets et des initiatives agronomiques en cours.- Effectuer une veille technologique et réglementaire dans le domaine agricole.* Exigences :- Diplôme d'Ingénieur Agronome d'une grande école marocaine d'ingénierie.- Débutant ou jusqu'à 3 ans d'expérience dans un poste similaire, de préférence dans le secteur [industriel, agricole, agroalimentaire, etc.].- Excellentes compétences analytiques et de communication.- Capacité à travailler en équipe et à interagir avec différents départements de l'entreprise.- Forte sensibilité aux enjeux environnementaux et agricoles actuels.
Maîtrise des outils informatiques et des logiciels spécifiques au domaine agronomique.Si vous êtes passionné par l'agronomie et que vous souhaitez contribuer au développement durable de notre entreprise, envoyez-nous votre CV !
Domaine : Agriculture / Environnement / Espaces Verts
Fonction : Ingénierie - Agro/Agri
Contrat : CDI
Entreprise : Confidentielle
Salaire : A discuter
Niveau d'études : Bac plus 5
Annonceur :
Confidentiel"
PostedPosted 17 days ago,IngÉnieur systÈme d’information,Rabat,,Permanent,"Rabat
Publiée le: 9 Feb-10:43
Annonce N°: 9766870
Issu(e) d’une formation Bac +5 spécialisée en systèmes d’information et administration de bases de données tout en possédant une expérience de 2 ans minimum dans un poste avec des connaissances confirmées dans les domaines suivants :
La maîtrise des techniques de gestion de projet (planning, budget…)L’installation et la configuration des infrastructures (serveurs physiques et virtuels, réseaux, téléphonies, stockages, messageries et sécurités)La maintenance des systèmes d’exploitation (Windows) et des logiciels installés dessus (Antivirus, mises à jour via WSUS, etc…)Le déploiement et l’administration des services réseaux de Microsoft (Active Directory, DNS, DHCP, GPO, DFS, WINS…)Le déploiement et la mise à jour des systèmes et des applications via WSUSL’installation, l’exploitation et la maintenance des différents éléments de sécurité : Firewall, Antivirus, Filtrage Web, Contrôle d’accès, VPN, cryptage, Scan des vulnérabilités…La bonne connaissance et la maitrise des systèmes d’exploitation et des solutions suivantes :Windows Server 2008, 2012, 2016 ;Solutions Microsoft : RDS, DFS, LDAP, MDTVirtualisation: VMWare, Hyper VAdministration Office 265Base de données: SQL ServerStockage et sauvegarde : SAN, NAS, Robot de sauvegardeUne expérience dans l’administration et/ou le déploiement de l’ERP et la connaissance des outils suivants serai un plus :Gestion du parc informatique : GLPI
Réseau : CiscoSystèmes téléphoniques CUCM (Cisco)Système ERP Sage X3
Domaine : Informatique / Multimédia / Internet
Fonction : Informatique - Systèmes d'Information
Contrat : CDI
Entreprise : IFRS
Salaire : A discuter
Niveau d'études : Bac plus 5
Annonceur :
KAWTAR"
EmployerActive 21 days ago,Chargé(e) de Mission - Project Management,Rabat,RH Multirecru,Permanent,"Job Title: Chargé(e) de Mission - Project Management
Location: Rabat
Job Type: Full-time
Nous sommes à la recherche d'un ingénieur pour collaborer étroitement avec la Direction Générale d'une grande entreprise forte de son engagement envers l'excellence et l'innovation.
Responsabilités principales :
En tant qu'ingénieur chargé de mission, vous serez responsable de la gestion et de la coordination de divers projets stratégiques en collaboration avec la Direction Générale.
Profil recherché :
- Diplôme ingénieur d'une grande école au Maroc, avec une spécialisation scientifique.
- Fraîchement diplômé ou jusqu'à 3 ans d'expérience maximum.
- Capacité démontrée à comprendre des concepts techniques complexes et à les communiquer de manière claire et concise.
- Excellentes compétences analytiques et de résolution de problèmes.
- Fortes compétences en communication et en relations interpersonnelles.
- Autonomie et capacité à travailler en équipe.
- Maîtrise des outils informatiques et logiciels de gestion de projet.
Type d'emploi : CDI
Salaire : 6.000,00DH à 10.000,00DH par mois
Formation:
École d'ingénieur (Requis)"
PostedPosted 16 days ago,Ingénieur informatique (h/f),Tanger,palmy,Permanent,"Société située à Tanger recherche un développeur (H/F)

Profil recherché :.
Bac + 5
l’administration et configuration des serveurs (Linux).
Maitrise les langages de programmation (PHP, HTML,Java, CSS, JavaScript).
Maitrise de SGBD PostgreSQL.
Maitrise systèmes Linux (Debian, CentOS et Ubuntu).
Connaissances en réseaux et protocoles de communication.
Compréhension des principes de conception d'API et d'intégration.
Domaine : Informatique / Multimédia / Internet
Fonction : Informatique - Développement
Contrat : CDI
Entreprise : palmy
Salaire : A discuter
Niveau d'études : Bac plus 5"
PostedPosted 24 days ago,Ingénieur,Rabat,,Permanent,"Rabat
Publiée le: 2 Feb-13:44
Annonce N°: 9760548
Forts de notre engagement envers l'excellence et l'innovation, nous sommes à la recherche d'un ingénieur pour rejoindre notre équipe et collaborer étroitement avec la Direction Générale.
Responsabilités principales :
En tant qu'ingénieur chargé(e) de mission, vous serez responsable de la gestion et de la coordination de divers projets stratégiques en collaboration avec la Direction Générale.
Profil recherché :
Diplôme d'ingénieur d'une grande école au Maroc, avec une spécialisation scientifique.
- Sortie d'école récente ou jusqu'à 3 ans d'expérience maximum.- Capacité démontrée à comprendre des concepts techniques complexes et à les communiquer de manière claire et concise.
- Excellentes compétences analytiques et de résolution de problèmes.- Fortes compétences en communication et en relations interpersonnelles.
- Autonomie et capacité à travailler en équipe.- Maîtrise des outils informatiques et logiciels de gestion de projet.
Domaine : Autre
Fonction : Comptabilite/Gestion/Audit/Finance
Contrat : CDI
Entreprise : Confidentielle
Salaire : A discuter
Niveau d'études : Bac plus 5
Annonceur :
Confidentielle"
PostedPosted 30+ days ago,Ingénieur informaticien,Rabat,,Permanent,"Rabat
Publiée le: 10 Jan-13:48
Annonce N°: 9726219
Nous recherchons un ingénieur de maintenance informatique
PROFIL REQUIS :• Formation Bac+5, Ecole d’ingénieur d’état spécialisation informatique• Minimum 3 ans d'expérience• Bonne compréhension des systèmes d'information à grande échelle Maîtrise des technologies de virtualisation,• Maîtrise de l'administration des serveurs Windows Server et Linux• Bonne connaissance des procédures de sauvegarde des données et, plus généralement, des contraintes de sécurité• Connaissance d'un certain nombre d'outils de sécurisation et de suivi des opérations• Maîtrise de l'anglais technique Intégrité, rigueur, autonomie, aisance relationnelle, force de persuasion, proactivité• Quelques certificats dans le domaine
Domaine : Maintenance / Entretien
Fonction : Informatique - Systèmes/Réseaux
Contrat : CDI
Entreprise : aaa
Salaire : A discuter
Niveau d'études : Bac plus 5
Annonceur :
saoufian"
PostedPosted 12 days ago,Ingénieur logiciels embarqués,Rabat,,Permanent,"Rabat
Publiée le: 14 Feb-17:31
Annonce N°: 9771874
Nous recrutons pour le compte d'une multinationale un Ingénieur Logiciels Embarqués.
Qualifications
Diplôme d'ingénieur logiciel embarqué, électronique.Développements bas niveau sur microprocesseurs et microcontrôleurs, notamment sur les cibles NXP, TI, STM32, du langage C.Capable d’intervenir sur toutes les étapes d’un cycle de développement.Connaissances en électronique numérique.
Les (+) : automatique & régulation, développement IHM, normes automobiles / aéronautiques, design FPGA.Min 05 ans d'expériences dans un poste similaire.
ResponsabilitésElaborer des spécifications,
Définir des solutions techniques,Architecture logicielle,Concevoir, développer et intégrer les logiciels,Vérifier les logiciels embarqués.
Domaine : Informatique / Multimédia / Internet
Fonction : Informatique - Développement
Contrat : CDI
Entreprise : Confidentiel
Salaire : A discuter
Niveau d'études : Bac plus 5
Annonceur :
Hicham Barrakad"
EmployerActive 3 days ago,Ingénieur Développement Informatique (H/F),Casablanca,Cloud Eco,Permanent,"Rattaché(e) à l'équipe technique marocaine et française, vous serez en charge de développer la partie web de notre CRM.
Vous serez amenés à :
Prendre en charge les demandes des utilisateurs par notre système de gestion des incidents.
Diagnostiquer la demande en s'appuyant sur les connaissances disponibles (savoir-faire, base de connaissances, collègues...) afin de déterminer la réponse adéquate.
Escalader l’incident au service adéquat s’il n’est pas en mesure de résoudre à son niveau.
Développer de nouvelles solutions aux problèmes détectés.
Assister les utilisateurs en cas de besoin dans l'application des solutions proposées.
Assurer le suivi et la communication liée au traitement des demandes avec les différents niveaux de support.
Contribuer à l’amélioration du service et enrichir la base de connaissances.
Participer à l’identification des dysfonctionnements majeurs.
Alerter son manager des problèmes éventuels rencontrés.
Participer à la migration du CRM 4D vers Angular et node JS (maîtrise de 4D & Angular Node JS )
Profil recherché :
Vous êtes de formation Bac+5 (École d’ingénieur, Université ou équivalent …) en informatique
Vous avez entre 2 à 5 ans expériences significatives en développement fullstack
Vous avez une parfaite maîtrise de l'environnement JS : Node et Angular ou autres technologies JS
Vous disposez de capacités d’analyse et de synthèse éprouvée
Autonomie, initiative, esprit d’analyse
En vivant cette expérience chez nous, vous aurez l’occasion de travailler dans une entreprise à taille humaine, à forte dimension et au sein d’une équipe collaborative où vous pourrez évoluer en autonomie.
Si cette offre vous correspond, n’attendez plus ! Postulez !
Localisation : Casanearshore (20190)
Type d'emploi : CDI"
PostedPosted 17 days ago,Ingénieur informatique (h/f),Tanger,emd aliz,Permanent,"Société située à Tanger spécialisée dans l‘e-marketing recherche un ingénieur informatique (H/F)
Responsabilités :.- l’administration et configuration des serveurs (Linux).- Diagnostiquer les incidents liés aux systèmes Linux (Debian, CentOS et Ubuntu).- Gestion des serveurs.- Assurer le développement et la maintenance des fonctionnalités techniques des applications.- corriger les anomalies et résoudre les problèmes de performance.Profil recherché :.- Bac + 5- Maitrise les langages de programmation (PHP, HTML,Java, CSS, JavaScript).- Maitrise de SGBD PostgreSQL.- Compréhension des principes de conception d'API et d'intégration.- Maitrise systèmes Linux (Debian, CentOS et Ubuntu).- Connaissances en réseaux et protocoles de communication.
Domaine : Informatique / Multimédia / Internet
Fonction : Informatique - Développement
Contrat : CDI
Entreprise : emd aliz
Salaire : A discuter
Niveau d'études : Bac plus 5"
PostedPosted 4 days ago,Ingénieur(e) fraichement diplomé(e),Casablanca,Africa climate solutions,Full-time,"Qualifications Requises
Ingénieur(e) fraîchement diplômé(e) en énergie, environnement, procédés industriels, ou un domaine connexe.
Connaissance des mesures d'efficacité énergétique, ainsi que des principes de l'économie circulaire et de la gestion durable de l'eau.
Maîtrise des outils informatiques de modélisation énergétique et de simulation.
Maîtrise du français et bon niveau en anglais.
Aptitude à travailler en équipe et à collaborer avec divers intervenants.
Capacité d'adaptation et flexibilité pour travailler dans des environnements variés.
Tâches et Responsabilités
Réaliser des audits environnementaux pour identifier les opportunités d'intégration des mesures d'efficacité énergétique, de l'économie circulaire et d’économie de l'eau.
Préparer des rapports d'évaluation détaillés qui illustrent les avantages économiques et environnementaux des projets d'investissement durable.
Suivre les tendances du marché, les innovations technologiques et les politiques réglementaires en matière d'efficacité énergétique, d'économie circulaire, et de gestion durable de l'eau.
Comment postuler ?
Envoyez votre CV à [contact@africaclimatesolutions.com]. Nous avons hâte de découvrir comment vous pouvez contribuer à notre mission !
Date limite de candidature : 27/02/2024
Type d'emploi : Temps plein
Capacité à faire le trajet:
Casablanca (Requis)
Ability to Relocate:
Casablanca: Relocate before starting work (Requis)
Date limite de candidature : 27/02/2024"
