city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Casablanca,33.5333,-7.5833,Morocco,MA,Casablanca-Settat,admin,4370000,3499000
El Kelaa des Srarhna,32.0481,-7.4083,Morocco,MA,Marrakech-Safi,,1450021,51404
Fès,34.0433,-5.0033,Morocco,MA,Fès-Meknès,admin,1112072,1112072
Tangier,35.7767,-5.8039,Morocco,MA,Tanger-Tétouan-Al Hoceïma,admin,947952,947952
Marrakech,31.6300,-8.0089,Morocco,MA,Marrakech-Safi,admin,928850,928850
Sale,34.0333,-6.8000,Morocco,MA,Rabat-Salé-Kénitra,,850403,850403
Mediouna,33.4500,-7.5100,Morocco,MA,Casablanca-Settat,,822851,822851
Rabat,34.0209,-6.8416,Morocco,MA,Rabat-Salé-Kénitra,primary,572717,572717
Meknès,33.8950,-5.5547,Morocco,MA,Fès-Meknès,,520428,520428
Oujda-Angad,34.6867,-1.9114,Morocco,MA,Oriental,admin,494252,494252
Kenitra,34.2500,-6.5833,Morocco,MA,Rabat-Salé-Kénitra,,431282,431282
Agadir,30.4333,-9.6000,Morocco,MA,Souss-Massa,admin,421844,421844
Tétouan,35.5667,-5.3667,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,380787,380787
Taourirt,34.4169,-2.8850,Morocco,MA,Oriental,,321876,321876
Temara,33.9267,-6.9122,Morocco,MA,Rabat-Salé-Kénitra,,313510,313510
Safi,32.2833,-9.2333,Morocco,MA,Marrakech-Safi,,308508,308508
Khénifra,32.9394,-5.6675,Morocco,MA,Béni Mellal-Khénifra,,228567,117510
Laâyoune,27.1536,-13.2033,Morocco,MA,Laâyoune-Sakia El Hamra,,217732,217732
Mohammedia,33.6833,-7.3833,Morocco,MA,Casablanca-Settat,,208612,208612
Kouribga,32.8833,-6.9167,Morocco,MA,Béni Mellal-Khénifra,,196196,196196
El Jadid,33.2333,-8.5000,Morocco,MA,Casablanca-Settat,,194934,194934
Béni Mellal,32.3394,-6.3608,Morocco,MA,Béni Mellal-Khénifra,admin,192676,192676
Ait Melloul,30.3342,-9.4972,Morocco,MA,Souss-Massa,,171847,171847
Nador,35.1667,-2.9333,Morocco,MA,Oriental,,161726,161726
Taza,34.2167,-4.0167,Morocco,MA,Fès-Meknès,,148456,148456
Settat,33.0000,-7.6167,Morocco,MA,Casablanca-Settat,,142250,142250
Barrechid,33.2667,-7.5833,Morocco,MA,Casablanca-Settat,,136634,136634
Al Khmissat,33.8167,-6.0667,Morocco,MA,Rabat-Salé-Kénitra,,131542,131542
Inezgane,30.3658,-9.5381,Morocco,MA,Souss-Massa,,130333,130333
Ksar El Kebir,35.0090,-5.9000,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,126617,126617
Larache,35.1833,-6.1500,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,125008,125008
Guelmim,28.9833,-10.0667,Morocco,MA,Guelmim-Oued Noun,admin,118318,118318
Berkane,34.9167,-2.3167,Morocco,MA,Oriental,,109237,109237
Khemis Sahel,35.2500,-6.0833,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,107371,107371
Ad Dakhla,23.7081,-15.9456,Morocco,MA,Dakhla-Oued Ed-Dahab,,106277,106277
Bouskoura,33.4489,-7.6486,Morocco,MA,Casablanca-Settat,,103026,103026
Al Fqih Ben Çalah,32.5000,-6.5333,Morocco,MA,Béni Mellal-Khénifra,,102019,102019
Oued Zem,32.8667,-6.5667,Morocco,MA,Béni Mellal-Khénifra,,95267,95267
Sidi Slimane,34.2600,-5.9200,Morocco,MA,Rabat-Salé-Kénitra,,92989,92989
Errachidia,31.9319,-4.4244,Morocco,MA,Drâa-Tafilalet,admin,92374,92374
Guercif,34.2333,-3.3667,Morocco,MA,Oriental,,90880,90880
Oulad Teïma,30.4000,-9.2167,Morocco,MA,Souss-Massa,,89387,89387
Ben Guerir,32.2300,-7.9500,Morocco,MA,Marrakech-Safi,,88626,88626
Sefrou,33.8300,-4.8300,Morocco,MA,Fès-Meknès,,79887,79887
Fnidq,35.8500,-5.3500,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,77436,77436
Sidi Qacem,34.2167,-5.7000,Morocco,MA,Rabat-Salé-Kénitra,,75672,75672
Moulay Abdallah,33.1978,-8.5883,Morocco,MA,Casablanca-Settat,,74671,74671
Youssoufia,32.2500,-8.5333,Morocco,MA,Marrakech-Safi,,67628,67628
Martil,35.6167,-5.2667,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,64355,64355
Aïn Harrouda,33.6372,-7.4483,Morocco,MA,Casablanca-Settat,,62420,62420
Skhirate,33.8500,-7.0300,Morocco,MA,Rabat-Salé-Kénitra,,59775,59775
Ouezzane,34.8000,-5.5833,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,59606,59606
Sidi Yahya Zaer,33.7105,-6.8831,Morocco,MA,Rabat-Salé-Kénitra,,57790,57790
Al Hoceïma,35.2472,-3.9322,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,56716,56716
